Vendor,البائع
PayPal All-in-One Payment Solutions&nbsp,حلول الدفع الشاملة من PayPal&nbsp;<i>قبول ومعالجة بطاقات الائتمان ومدفوعات PayPal.</i>,PayPal All-in-One Payment Solutions&nbsp,<i>Accept and process credit cards and PayPal payments.</i>,module,Magento_Paypal,,
Choose a secure bundled payment solution for your business.,اختر حلاً آمناً متكاملاً للدفع يناسب أعمالك.,module,Magento_Paypal,,,,
Payments Pro,المدفوعات الاحترافية,module,Magento_Paypal,,,,
Payments Pro and Express Checkout,Payments Pro و Express Checkout,module,Magento_Paypal,,,,
Basic Settings - PayPal Payments Pro,الإعدادات الأساسية - PayPal Payments Pro,module,Magento_Paypal,,,,
Payments Standard,المدفوعات القياسية,module,Magento_Paypal,,,,
Accept credit card and PayPal payments securely.,اقبل مدفوعات بطاقات الائتمان و PayPal بأمان.,module,Magento_Paypal,,,,
Basic Settings - PayPal Website Payments Standard,الإعدادات الأساسية - PayPal Website Payments Standard,module,Magento_Paypal,,,,
PayPal Payment Gateways&nbsp,بوابات الدفع PayPal&nbsp;<i>معالجة المدفوعات باستخدام حساب التاجر الخاص بك عبر الإنترنت.</i>,PayPal Payment Gateways&nbsp,<i>Process payments using your own internet merchant account.</i>,module,Magento_Paypal,,
PayPal All-in-One Payment Solutions&nbsp,حلول الدفع الشاملة من PayPal,<i>Accept and process credit cards and PayPal payments.</i>,PayPal All-in-One Payment Solutions&nbsp,&nbsp,<i>Accept and process credit cards and PayPal payments.</i>,module,Magento_Paypal
Accept payments with a completely customizable checkout page.,اقبل المدفوعات عبر صفحة دفع قابلة للتخصيص الكامل.,module,Magento_Paypal,,,,
Website Payments Standard,مدفوعات الموقع القياسية,module,Magento_Paypal,,,,
Process payments using your own internet merchant account.,معالجة المدفوعات باستخدام حساب التاجر الإلكتروني الخاص بك.,module,Magento_Paypal,,,,
Website Payments Pro,مدفوعات الموقع الاحترافية,module,Magento_Paypal,,,,
Express Checkout,الدفع السريع,module,Magento_Paypal,,,,
Add PayPal as an additional payment method to your checkout page.,أضف PayPal كطريقة دفع إضافية إلى صفحة الدفع الخاصة بك.,module,Magento_Paypal,,,,
Required PayPal Settings,إعدادات PayPal الم,module,Magento_Paypal,,,,
Email Associated with PayPal Merchant Account (Optional),البريد الإلكتروني المرتبط بحساب تاجر PayPal (اختياري),module,Magento_Paypal,,,,
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">ابدأ بقبول المدفوعات عبر PayPal!</a>",module,Magento_Paypal,,,,
Don't have a PayPal account? Simply enter your email address.,ليس لديك حساب PayPal؟ ما عليك سوى إدخال بريدك الإلكتروني.,module,Magento_Paypal,,,,
API Authentication Methods,طرق مصادقة API,module,Magento_Paypal,,,,
API Username,اسم مستخدم API,module,Magento_Paypal,,,,
API Password,API كلمة السر,module,Magento_Paypal,,,,
Get Credentials from PayPal,الحصول على بيانات الاعتماد من PayPal,module,Magento_Paypal,,,,
Sandbox Mode,الوضع التجريبي,module,Magento_Paypal,,,,
API Uses Proxy,API يستخدم وكيلًا,module,Magento_Paypal,,,,
Proxy Host,مضيف البروكسي,module,Magento_Paypal,,,,
Proxy Port,منفذ البروكسي,module,Magento_Paypal,,,,
Please enter at least 0 and at most 65535,يرجى إدخال 0 على الأقل و65535 كحد أقصى,module,Magento_Paypal,,,,
Enable this Solution,تمكين هذا الحل,module,Magento_Paypal,,,,
Enable In-Context Checkout Experience,تفعيل تجربة الدفع داخل السياق,module,Magento_Paypal,,,,
"See PayPal Feature Support details and list of supported regions,module,Magento_Paypal
<a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>.","راجع تفاصيل دعم ميزات PayPal وقائمة المناطق المدعومة <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">هنا</a>.",module,Magento_Paypal,,,,
Merchant Account ID,معرف حساب التاجر,module,Magento_Paypal,,,,
Enable PayPal Credit,تفعيل PayPal Credit,module,Magento_Paypal,,,,
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.,module,Magento_Paypal
You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.,module,Magento_Paypal
<a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>",تتيح لك خدمة PayPal Express Checkout منح عملائك إمكانية الوصول إلى التمويل عبر PayPal Credit&#174; - دون أي تكلفة إضافية عليك.,module,Magento_Paypal,,,,
Sort Order PayPal Credit,ترتيب الفرز لـ PayPal Credit,module,Magento_Paypal,,,,
Advertise PayPal Credit,الإعلان عن PayPal Credit,module,Magento_Paypal,,,,
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>,module,Magento_Paypal
<strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing,module,Magento_Paypal
from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.,module,Magento_Paypal
Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.,module,Magento_Paypal
The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%,module,Magento_Paypal
or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">لماذا تُعلن عن التمويل؟</a><br/>",module,Magento_Paypal,,,,
Publisher ID,معرّف الناشر,module,Magento_Paypal,,,,
Required to display a banner,مطلوب لعرض البانر الإعلاني,module,Magento_Paypal,,,,
Get Publisher ID from PayPal,الحصول على معرّف الناشر من PayPal,module,Magento_Paypal,,,,
Home Page,الصفحة الرئيسية,module,Magento_Paypal,,,,
Display,عرض,module,Magento_Paypal,,,,
Position,موقع,module,Magento_Paypal,,,,
Size,الحجم,module,Magento_Paypal,,,,
Catalog Category Page,صفحة فئة الكتالوج,module,Magento_Paypal,,,,
Catalog Product Page,صفحة منتج الكتالوج,module,Magento_Paypal,,,,
Checkout Cart Page,صفحة عربة التسوق,module,Magento_Paypal,,,,
Basic Settings - PayPal Express Checkout,الإعدادات الأساسية - PayPal Express Checkout,module,Magento_Paypal,,,,
Title,العنوان,module,Magento_Paypal,,,,
"It is recommended to set this value to ""PayPal"" per store views.","يُوصى بتعيين هذه القيمة إلى ""PayPal"" لكل عرض متجر.",module,Magento_Paypal,,,,
Sort Order,الترتيب,module,Magento_Paypal,,,,
Payment Action,فعل الدفع,module,Magento_Paypal,,,,
Display on Product Details Page,العرض على صفحة تفاصيل المنتج,module,Magento_Paypal,,,,
Authorization Honor Period (days),مدة صلاحية التفويض (بالأيام),module,Magento_Paypal,,,,
Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.,يحدد هذا الحقل مدة صلاحية التفويض في حساب PayPal الخاص بالتاجر. يجب أن تتطابق مع الإعداد المحدد في PayPal.,module,Magento_Paypal,,,,
Order Valid Period (days),مدة صلاحية الطلب (بالأيام),module,Magento_Paypal,,,,
Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.,يحدد هذا الحقل مدة صلاحية الطلب في حساب PayPal الخاص بالتاجر. يجب أن تتطابق مع الإعداد المحدد في PayPal.,module,Magento_Paypal,,,,
Number of Child Authorizations,عدد التفويضات الفرعية,module,Magento_Paypal,,,,
The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.,العدد الافتراضي للتفويضات الفرعية في حساب PayPal هو 1. للتفويضات المتعددة، يرجى التواصل مع PayPal لطلب زيادة.,module,Magento_Paypal,,,,
Advanced Settings,الإعدادات المُتقدّمة,module,Magento_Paypal,,,,
Display on Shopping Cart,العرض في سلة التسوق,module,Magento_Paypal,,,,
Also affects mini-shopping cart.,يؤثر أيضًا على سلة التسوق المصغرة.,module,Magento_Paypal,,,,
Payment Applicable From,الدفع مطبق من,module,Magento_Paypal,,,,
Countries Payment Applicable From,البلدان المطبق منها الدفع,module,Magento_Paypal,,,,
Debug Mode,وضع التصحيح,module,Magento_Paypal,,,,
Enable SSL verification,تفعيل التحقق من SSL,module,Magento_Paypal,,,,
Transfer Cart Line Items,نقل عناصر سلة التسوق,module,Magento_Paypal,,,,
Transfer Shipping Options,نقل خيارات الشحن,module,Magento_Paypal,,,,
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.",إذا تم تفعيل هذا الخيار، يمكن للعميل تغيير عنوان الشحن وطريقة الشحن على موقع PayPal. في الوضع المباشر يعمل عبر بروتوكول HTTPS فقط.,module,Magento_Paypal,,,,
Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.,لاحظ أن PayPal يمكنه التعامل مع 10 خيارات شحن كحد أقصى. لذلك سينقل Magento أرخص 10 خيارات شحن فقط إذا كان هناك أكثر من 10.,module,Magento_Paypal,,,,
Shortcut Buttons Flavor,نمط أزرار الاختصار,module,Magento_Paypal,,,,
Enable PayPal Guest Checkout,تفعيل الدفع كضيف عبر PayPal,module,Magento_Paypal,,,,
Ability for buyer to purchase without PayPal account.,إمكانية الشراء للمشتري بدون حساب PayPal.,module,Magento_Paypal,,,,
Require Customer's Billing Address,تتطلب معالجة عناوين الفواتير للعميل,module,Magento_Paypal,,,,
This feature needs be enabled first for the merchant account through PayPal technical support.,يجب تفعيل هذه الميزة أولاً لحساب التاجر من خلال الدعم الفني لـ PayPal.,module,Magento_Paypal,,,,
Billing Agreement Signup,تسجيل اتفاقية الفوترة,module,Magento_Paypal,,,,
"Whether to create a billing agreement, if there are no active billing agreements available.",ما إذا كان سيتم إنشاء اتفاقية فوترة، إذا لم تكن هناك اتفاقيات فوترة نشطة.,module,Magento_Paypal,,,,
Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.,يجب على التجار التقدم إلى PayPal لتفعيل ميزة اتفاقيات الفوترة. لا تفعّل هذا الخيار حتى يؤكد PayPal أن اتفاقيات الفوترة مفعّلة لحساب تاجرك.,module,Magento_Paypal,,,,
Skip Order Review Step,تخطي خطوة مراجعة الطلب,module,Magento_Paypal,,,,
PayPal Billing Agreement Settings,إعدادات اتفاقية فوترة PayPal,module,Magento_Paypal,,,,
Enabled,تفعيل,module,Magento_Paypal,,,,
Will appear as a payment option only for customers who have at least one active billing agreement.,ستظهر كخيار دفع فقط للعملاء الذين لديهم اتفاقية فوترة نشطة واحدة على الأقل.,module,Magento_Paypal,,,,
Allow in Billing Agreement Wizard,السماح في معالج اتفاقية الفوترة,module,Magento_Paypal,,,,
Settlement Report Settings,إعدادات تقارير التسوية,module,Magento_Paypal,,,,
SFTP Credentials,بيانات اعتماد SFTP,module,Magento_Paypal,,,,
Login,تسجيل الدخول,module,Magento_Paypal,,,,
Password,كلمة المرور,module,Magento_Paypal,,,,
Custom Endpoint Hostname or IP-Address,اسم المضيف المخصص أو عنوان IP,module,Magento_Paypal,,,,
"By default it is ""reports.paypal.com"".","بشكل افتراضي هو ""reports.paypal.com"".",module,Magento_Paypal,,,,
"Use colon to specify port. For example: ""test.example.com:5224"".","استخدم النقطتين لتحديد المنفذ. مثال: ""test.example.com:5224"".",module,Magento_Paypal,,,,
Custom Path,المسار المخصص,module,Magento_Paypal,,,,
